,Unnamed: 0,id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,pointsDifference,closeGame
178,178,401636867,2024,3,regular,2024-09-12T23:30:00.000Z,False,True,False,False,,3644,Bobcat Stadium (TX),326,Texas State,fbs,Sun Belt,28.0,"[7, 14, 7, 0]",0.1150698659913669,1545,1538.0,9,Arizona State,fbs,Big 12,31.0,"[7, 14, 7, 3]",0.8849301340086331,1504.0,1511.0,8.8230147959,,,-3.0,True
180,180,401636863,2024,3,regular,2024-09-13T23:00:00.000Z,False,True,True,False,,3486,Children's Mercy Park,2305,Kansas,fbs,Big 12,20.0,"[7, 10, 0, 3]",0.9904339356746408,1606,1603.0,2439,UNLV,fbs,Mountain West,23.0,"[3, 10, 3, 7]",0.0095660643253591,1541.0,1544.0,6.9236233086,,,-3.0,True
182,182,401628359,2024,3,regular,2024-09-14T16:00:00.000Z,False,True,False,True,,3994,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,33.0,"[7, 17, 0, 9]",0.8567462764688526,1637,1642.0,99,LSU,fbs,SEC,36.0,"[0, 16, 6, 14]",0.1432537235311474,1803.0,1798.0,9.8185936219,,,-3.0,True
187,187,401635542,2024,3,regular,2024-09-14T16:00:00.000Z,False,True,False,False,,3697,Doak Campbell Stadium,52,Florida State,fbs,ACC,12.0,"[0, 3, 6, 3]",0.1168275596161008,1610,1596.0,235,Memphis,fbs,American Athletic,20.0,"[3, 10, 7, 0]",0.8831724403838992,1625.0,1639.0,4.7620557314,,,-8.0,True
191,191,401628357,2024,3,regular,2024-09-14T16:45:00.000Z,False,True,False,False,,3838,Memorial Stadium,142,Missouri,fbs,SEC,27.0,"[3, 14, 7, 3]",0.8685557691100811,1803,1795.0,103,Boston College,fbs,ACC,21.0,"[7, 7, 0, 7]",0.1314442308899188,1462.0,1470.0,5.8006475504,,,6.0,True
193,193,401643786,2024,3,regular,2024-09-14T18:00:00.000Z,False,True,False,False,,3806,Lincoln Financial Field,218,Temple,fbs,American Athletic,20.0,"[3, 7, 7, 3]",0.1595680350940139,1074,1092.0,324,Coastal Carolina,fbs,Sun Belt,28.0,"[14, 7, 7, 0]",0.8404319649059862,1537.0,1519.0,4.01918383,,,-8.0,True
194,194,401628484,2024,3,regular,2024-09-14T19:30:00.000Z,False,True,True,False,,3673,Lumen Field,264,Washington,fbs,Big Ten,19.0,"[7, 6, 6, 0]",0.7815755850294251,1759,1745.0,265,Washington State,fbs,Pac-12,24.0,"[10, 7, 7, 0]",0.2184244149705748,1581.0,1595.0,6.750224187,,,-5.0,True
196,196,401635547,2024,3,regular,2024-09-14T19:30:00.000Z,False,True,False,False,,3752,Acrisure Stadium,221,Pittsburgh,fbs,ACC,38.0,"[10, 7, 7, 14]",0.5101699610641375,1483,1488.0,277,West Virginia,fbs,Big 12,34.0,"[7, 10, 7, 10]",0.4898300389358625,1546.0,1541.0,8.7770249092,,,4.0,True
206,206,401643785,2024,3,regular,2024-09-14T20:00:00.000Z,False,True,False,False,,3699,Dowdy-Ficklen Stadium,151,East Carolina,fbs,American Athletic,19.0,"[16, 0, 0, 3]",0.3263344359388387,1415,1414.0,2026,App State,fbs,Sun Belt,21.0,"[0, 14, 7, 0]",0.6736655640611613,1446.0,1447.0,8.6747762863,,,-2.0,True
213,213,401629030,2024,3,regular,2024-09-14T22:00:00.000Z,False,True,False,False,,3982,Wallace Wade Stadium,150,Duke,fbs,ACC,26.0,"[7, 10, 0, 9]",0.3474928526218494,1602,1590.0,41,UConn,fbs,FBS Independents,21.0,"[0, 7, 14, 0]",0.6525071473781505,1157.0,1169.0,8.9201363026,,,5.0,True
215,215,401645327,2024,3,regular,2024-09-14T22:00:00.000Z,False,True,False,False,,4418,Jerry Richardson Stadium,2429,Charlotte,fbs,American Athletic,27.0,"[0, 3, 3, 21]",0.3163741009693031,1174,1174.0,2241,Gardner-Webb,fcs,Big South-OVC,26.0,"[3, 14, 3, 6]",0.6836258990306969,,,5.3353819557,,,1.0,True
219,219,401640999,2024,3,regular,2024-09-14T23:00:00.000Z,False,True,False,False,,3912,Rynearson Stadium,2199,Eastern Michigan,fbs,Mid-American,37.0,"[14, 14, 3, 0, 3, 3]",0.6626094267979739,1298,1300.0,55,Jacksonville State,fbs,Conference USA,34.0,"[7, 13, 0, 11, 3, 0]",0.3373905732020261,1374.0,1372.0,9.6322925678,,,3.0,True
220,220,401628362,2024,3,regular,2024-09-14T23:00:00.000Z,False,True,False,False,,4246,Center Parc Stadium,2247,Georgia State,fbs,Sun Belt,36.0,"[3, 9, 10, 14]",0.4064557580733251,1370,1371.0,238,Vanderbilt,fbs,SEC,32.0,"[0, 10, 0, 22]",0.5935442419266749,1313.0,1312.0,8.4948458307,,,4.0,True
228,228,401636866,2024,3,regular,2024-09-14T23:30:00.000Z,False,True,False,True,,3616,Amon G. Carter Stadium,2628,TCU,fbs,Big 12,34.0,"[14, 7, 10, 3]",0.0084335957263219,1578,1580.0,2116,UCF,fbs,Big 12,35.0,"[0, 7, 13, 15]",0.991566404273678,1644.0,1642.0,6.913846806,,,-1.0,True
230,230,401628354,2024,3,regular,2024-09-14T23:30:00.000Z,False,True,False,True,,3683,Kroger Field,96,Kentucky,fbs,SEC,12.0,"[3, 3, 3, 3]",0.2070510400248718,1563,1583.0,61,Georgia,fbs,SEC,13.0,"[0, 3, 3, 7]",0.7929489599751282,2066.0,2046.0,8.9509868466,,,-1.0,True
242,242,401634766,2024,4,regular,2024-09-20T23:30:00.000Z,False,True,False,True,,1964,JMA Wireless Dome,183,Syracuse,fbs,ACC,24.0,"[0, 10, 7, 7]",0.1490440505033184,1386,1378.0,24,Stanford,fbs,ACC,26.0,"[7, 6, 7, 6]",0.8509559494966816,1295.0,1303.0,8.569416045,,,-2.0,True
243,243,401628485,2024,4,regular,2024-09-21T00:00:00.000Z,False,True,False,True,,3834,"Memorial Stadium (Lincoln, NE)",158,Nebraska,fbs,Big Ten,24.0,"[10, 7, 0, 7, 0]",0.3547871322306742,1588,1570.0,356,Illinois,fbs,Big Ten,31.0,"[7, 3, 7, 7, 7]",0.6452128677693258,1533.0,1551.0,7.7382389903,,,-7.0,True
244,244,401643714,2024,4,regular,2024-09-21T02:00:00.000Z,False,True,False,False,,3820,Gesa Field,265,Washington State,fbs,Pac-12,54.0,"[7, 17, 0, 22, 0, 8]",0.9133358983085522,1595,1596.0,23,San José State,fbs,Mountain West,52.0,"[10, 7, 21, 8, 0, 6]",0.0866641016914477,1602.0,1601.0,10.6427695825,,,2.0,True
252,252,401636879,2024,4,regular,2024-09-21T16:00:00.000Z,False,True,False,True,,3842,Milan Puskar Stadium,277,West Virginia,fbs,Big 12,32.0,"[7, 7, 3, 15]",0.2702222025040236,1541,1546.0,2305,Kansas,fbs,Big 12,28.0,"[0, 7, 14, 7]",0.7297777974959764,1603.0,1598.0,8.1653534777,,,4.0,True
254,254,401643791,2024,4,regular,2024-09-21T16:00:00.000Z,False,True,False,False,,3666,Cajun Field,309,Louisiana,fbs,Sun Belt,33.0,"[7, 6, 13, 7]",0.0059666755760555,1558,1543.0,2655,Tulane,fbs,American Athletic,41.0,"[0, 17, 21, 3]",0.9940333244239444,1561.0,1576.0,5.6751086353,,,-8.0,True
256,256,401644735,2024,4,regular,2024-09-21T17:00:00.000Z,False,True,False,True,,3786,Kelly/Shorts Stadium,2117,Central Michigan,fbs,Mid-American,37.0,"[0, 23, 0, 14]",0.9936869782520776,1173,1174.0,2050,Ball State,fbs,Mid-American,34.0,"[10, 7, 7, 10]",0.0063130217479223,1185.0,1184.0,6.6181255883,,,3.0,True
263,263,401628494,2024,4,regular,2024-09-21T19:30:00.000Z,False,True,False,False,,3799,Lane Stadium,259,Virginia Tech,fbs,ACC,23.0,"[0, 7, 0, 16]",0.1413056103082315,1626,1614.0,164,Rutgers,fbs,Big Ten,26.0,"[14, 2, 7, 3]",0.8586943896917685,1511.0,1523.0,4.7686009891,,,-3.0,True
264,264,401629042,2024,4,regular,2024-09-21T19:30:00.000Z,False,True,False,False,,3985,Warren McGuirk Alumni Stadium,113,Massachusetts,fbs,FBS Independents,35.0,"[7, 14, 7, 7]",0.9965496435866243,1057,1057.0,2115,Central Connecticut,fcs,NEC,31.0,"[0, 21, 7, 3]",0.0034503564133756,,,6.5087893456,,,4.0,True
269,269,401644736,2024,4,regular,2024-09-21T19:30:00.000Z,False,True,False,True,,3764,Huskie Stadium,2459,Northern Illinois,fbs,Mid-American,20.0,"[7, 7, 0, 6, 0]",0.8042575150701324,1476,1464.0,2084,Buffalo,fbs,Mid-American,23.0,"[0, 3, 7, 10, 3]",0.1957424849298675,1360.0,1372.0,9.4545107191,,,-3.0,True
270,270,401628489,2024,4,regular,2024-09-21T19:30:00.000Z,False,True,False,True,,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,27.0,"[7, 7, 6, 7]",0.9585892061787497,1911,1910.0,30,USC,fbs,Big Ten,24.0,"[0, 3, 14, 7]",0.0414107938212503,1768.0,1769.0,8.7964960185,,,3.0,True
273,273,401636877,2024,4,regular,2024-09-21T19:30:00.000Z,False,True,False,True,,3784,Jones AT&T Stadium,2641,Texas Tech,fbs,Big 12,30.0,"[14, 3, 7, 6]",0.3814853635278148,1623,1628.0,9,Arizona State,fbs,Big 12,22.0,"[0, 10, 6, 6]",0.6185146364721852,1511.0,1506.0,5.9004704465,,,8.0,True
