Id,Season,HomeTeam,HomePoints,AwayTeam,AwayPoints,PointDiff
401112081,2019,TCU,23,Baylor,29,6
401112235,2019,Minnesota,31,Penn State,26,5
401117902,2019,SMU,59,East Carolina,51,8
401112249,2019,Northwestern,22,Purdue,24,2
401112504,2019,Virginia,33,Georgia Tech,28,5
401114307,2019,Old Dominion,23,UTSA,24,1
401121967,2019,Texas State,30,South Alabama,28,2
401114190,2019,Colorado,16,Stanford,13,3
401114304,2019,UTEP,21,Charlotte,28,7
401110842,2019,Alabama,41,LSU,46,5
401112154,2019,Michigan State,34,Illinois,37,3
401112111,2019,Texas,27,Kansas State,24,3
401114160,2019,Arizona State,26,USC,31,5
401112198,2019,Wisconsin,24,Iowa,22,2
401110848,2019,South Carolina,15,App State,20,5
401117540,2019,Fresno State,35,Utah State,37,2
401114353,2019,BYU,31,Liberty,24,7
401110846,2019,Kentucky,13,Tennessee,17,4
401112092,2019,Oklahoma,42,Iowa State,41,1
401117541,2019,Boise State,20,Wyoming,17,3
401117542,2019,San Diego State,13,Nevada,17,4
401117543,2019,Hawai'i,42,San José State,40,2
401119300,2019,Ohio,34,Western Michigan,37,3
401119302,2019,Toledo,28,Northern Illinois,31,3
401119303,2019,Kent State,30,Buffalo,27,3
401112507,2019,Pittsburgh,34,North Carolina,27,7
401117905,2019,Temple,29,Tulane,21,8
401112133,2019,Texas Tech,31,TCU,33,2
401112166,2019,Penn State,34,Indiana,27,7
401121969,2019,Arkansas State,28,Coastal Carolina,27,1
401119304,2019,Ball State,44,Central Michigan,45,1
401112093,2019,Iowa State,23,Texas,21,2
401112112,2019,Kansas State,20,West Virginia,24,4
401110849,2019,Auburn,14,Georgia,21,7
401117546,2019,Utah State,26,Wyoming,21,5
401112199,2019,Iowa,23,Minnesota,19,4
401114310,2019,Middle Tennessee,28,Rice,31,3
401117903,2019,South Florida,17,Cincinnati,20,3
401114161,2019,Oregon State,35,Arizona State,34,1
401112082,2019,Baylor,31,Oklahoma,34,3
401119307,2019,Miami (OH),20,Akron,17,3
401112513,2019,Georgia Tech,28,NC State,26,2
401117908,2019,UConn,24,East Carolina,31,7
401117906,2019,Tulane,31,UCF,34,3
401119309,2019,Kent State,41,Ball State,38,3
401112128,2019,West Virginia,13,Oklahoma State,20,7
401121974,2019,Arkansas State,38,Georgia Southern,33,5
401114315,2019,UAB,20,Louisiana Tech,14,6
401114317,2019,Rice,20,North Texas,14,6
401117911,2019,Navy,35,SMU,28,7
401110857,2019,Georgia,19,Texas A&M,13,6
401114182,2019,Stanford,20,California,24,4
401117553,2019,UNLV,38,San José State,35,3
401121975,2019,UL Monroe,45,Coastal Carolina,42,3
401112113,2019,Texas Tech,27,Kansas State,30,3
401117907,2019,Cincinnati,15,Temple,13,2
401112517,2019,Florida International,30,Miami,24,6
401110861,2019,Missouri,20,Tennessee,24,4
401114162,2019,Arizona State,31,Oregon,28,3
401112120,2019,Oklahoma,28,TCU,24,4
401114206,2019,Washington State,54,Oregon State,53,1
401114191,2019,Colorado,20,Washington,14,6
401117551,2019,Fresno State,28,Nevada,35,7
401117552,2019,Hawai'i,14,San Diego State,11,3
401119311,2019,Northern Illinois,17,Western Michigan,14,3
401110863,2019,Mississippi State,21,Ole Miss,20,1
401119313,2019,Eastern Michigan,26,Kent State,34,8
401112200,2019,Nebraska,24,Iowa,27,3
401117554,2019,Colorado State,24,Boise State,31,7
401112134,2019,TCU,17,West Virginia,20,3
401121979,2019,South Alabama,34,Arkansas State,30,4
401121980,2019,Coastal Carolina,24,Texas State,21,3
401112168,2019,Purdue,41,Indiana,44,3
401114321,2019,Marshall,30,Florida International,27,3
401114324,2019,Western Kentucky,31,Middle Tennessee,26,5
401117558,2019,Nevada,30,UNLV,33,3
401110865,2019,Auburn,48,Alabama,45,3
401112221,2019,Michigan State,19,Maryland,16,3
401112522,2019,Pittsburgh,19,Boston College,26,7
401114325,2019,North Texas,21,UAB,26,5
401121982,2019,Louisiana,31,UL Monroe,30,1
401117557,2019,San José State,17,Fresno State,16,1
